datetime,sessionTime,HR
250707152217.653,0.000,77
250707152218.666,1.100,76
250707152219.657,2.080,76
250707152220.649,3.080,75
250707152221.638,4.060,74
250707152222.670,5.100,73
250707152223.661,6.100,73
250707152224.652,7.080,73
250707152225.688,8.120,72
250707152226.679,9.100,72
250707152227.738,10.160,72
250707152228.657,11.080,71
250707152229.647,12.080,71
250707152230.638,13.060,71
250707152231.672,14.100,71
250707152232.663,15.100,71
250707152233.652,16.080,72
250707152234.643,17.080,73
250707152235.631,18.060,78
250707152236.667,19.100,87
250707152237.655,20.080,89
250707152238.649,21.080,92
250707152239.727,22.160,96
250707152240.727,23.160,99
250707152241.662,24.100,101
250707152242.652,25.080,103
250707152243.687,26.120,104
250707152244.633,27.060,104
250707152245.667,28.100,104
250707152246.657,29.080,103
250707152247.648,30.080,102
250707152248.637,31.060,100
250707152249.672,32.100,98
250707152250.662,33.100,96
250707152251.650,34.080,97
250707152252.685,35.120,99
250707152253.632,36.060,100
250707152254.666,37.100,101
250707152255.655,38.080,102
250707152256.648,39.080,101
250707152257.635,40.060,100
250707152258.672,41.100,97
250707152259.663,42.100,96
250707152300.651,43.080,93
250707152301.645,44.080,93
250707152302.633,45.060,93
250707152303.667,46.100,92
250707152304.658,47.080,91
250707152305.691,48.120,91
250707152306.635,49.060,91
250707152307.672,50.100,91
250707152308.663,51.100,90
250707152309.699,52.120,90
250707152310.646,53.080,89
250707152311.631,54.060,87
250707152312.674,55.100,86
250707152313.701,56.140,85
250707152314.648,57.080,84
250707152315.682,58.120,82
250707152316.671,59.100,81
250707152317.660,60.100,81
250707152318.653,61.080,80
250707152319.687,62.120,80
250707152320.630,63.060,81
250707152321.712,64.140,81
250707152322.655,65.080,81
