datetime,sessionTime,RRi
250708191839.458,0.260,813,498
250708191840.462,1.260,818,528
250708191841.461,2.260,805,257
250708191842.462,3.260,796,396
250708191843.466,4.260,811,140
250708191844.467,5.260,831,131
250708191845.469,6.260,819,867
250708191846.471,7.260,815,016
250708191847.472,8.260,828,024
250708191848.472,9.260,819,232
250708191849.472,10.260,838,496
250708191850.476,11.280,832,924
250708191851.480,12.280,836,189
250708191852.481,13.280,858,430
250708191853.482,14.280,871,305
250708191854.484,15.280,869,877
250708191855.490,16.280,879,881
250708191856.489,17.280,892,769
250708191857.489,18.280,873,058
250708191858.491,19.280,881,269
250708191859.495,20.300,865,623
250708191900.498,21.300,873,267
250708191901.503,22.300,883,236
250708191902.506,23.300,885,633
250708191903.507,24.300,879,340
250708191904.508,25.300,894,996
250708191905.510,26.300,881,004
250708191906.513,27.300,877,263
250708191907.516,28.320,881,921
250708191908.515,29.320,888,433
250708191909.519,30.320,896,729
250708191910.522,31.320,892,451
250708191911.523,32.320,897,051
250708191912.527,33.320,907,168
250708191913.532,34.320,889,624
250708191914.534,35.320,883,069
250708191915.537,36.340,870,125
250708191916.541,37.340,849,906
250708191917.542,38.340,856,632
250708191918.543,39.340,865,814
250708191919.544,40.340,862,782
250708191920.545,41.340,874,414
250708191921.549,42.340,878,516
250708191922.548,43.340,891,233
250708191923.554,44.360,903,781
250708191924.554,45.360,903,407
250708191925.557,46.360,909,825
250708191926.558,47.360,894,877
250708191927.559,48.360,887,131
250708191928.559,49.360,881,565
250708191929.563,50.360,875,427
250708191930.563,51.360,871,018
250708191931.564,52.360,866,810
250708191932.570,53.360,885,140
250708191933.572,54.360,868,320
250708191934.573,55.360,873,961
250708191935.577,56.380,876,674
250708191936.577,57.380,899,091
250708191937.578,58.380,883,137
250708191938.582,59.380,890,358
