datetime,sessionTime,ExciteOMeter
250708193628.736,0.460,0.76237
250708193628.736,1.460,0.74273
250708193628.736,2.460,0.55560
250708193628.736,3.460,0.60984
250708193628.736,4.480,0.64500
250708193628.736,5.480,0.53934
250708193628.736,6.480,0.59997
250708193628.736,7.480,0.60569
250708193628.736,8.480,0.68251
250708193628.736,9.480,0.57704
250708193628.736,10.480,0.75907
250708193628.736,11.500,0.83065
250708193628.736,12.500,0.81132
250708193628.736,13.500,0.83461
250708193628.736,14.500,0.85377
250708193628.736,15.500,0.80608
250708193628.736,16.500,0.78843
250708193628.736,17.500,0.71318
250708193628.736,18.500,0.74519
250708193628.736,19.500,0.51001
250708193628.736,20.500,0.47280
250708193628.736,21.520,0.49299
250708193628.736,22.520,0.50893
250708193628.736,23.520,0.57709
250708193628.736,24.520,0.60452
250708193628.736,25.520,0.59089
250708193628.736,26.520,0.58529
250708193628.736,27.520,0.50818
250708193628.736,28.520,0.77005
250708193628.736,29.540,0.70095
250708193628.736,30.540,0.74174
250708193628.736,31.540,0.75776
250708193628.736,32.540,0.56925
250708193628.736,33.540,0.61730
250708193628.736,34.540,0.52074
250708193628.736,35.540,0.54217
250708193628.736,36.560,0.57287
250708193628.736,37.560,0.54580
250708193628.736,38.560,0.53660
250708193628.736,39.560,0.50318
250708193628.736,40.560,0.38331
250708193628.736,41.560,0.55040
250708193628.736,42.560,0.42061
250708193628.736,43.560,0.56637
250708193628.736,44.580,0.56372
250708193628.736,45.580,0.52083
250708193628.736,46.580,0.52247
250708193628.736,47.580,0.52923
250708193628.736,48.580,0.38814
250708193628.736,49.580,0.49358
250708193628.736,50.580,0.29216
250708193628.736,51.580,0.10775
250708193628.736,52.580,0.09833
250708193628.736,53.600,0.09098
250708193628.736,54.600,0.07864
250708193628.736,55.600,0.08491
250708193628.736,56.600,0.05368
250708193628.736,57.600,0.05108
250708193628.736,58.600,0.03806
250708193628.736,59.600,0.03406
250708193628.736,60.600,0.03377
