datetime,sessionTime,RMSSD
250708200700.699,0.120,11.065
250708200700.700,1.120,11.065
250708200701.701,2.120,11.366
250708200702.703,3.120,12.217
250708200703.705,4.120,11.569
250708200704.707,5.120,10.622
250708200705.707,6.120,9.207
250708200706.709,7.120,9.304
250708200707.713,8.120,10.145
250708200708.713,9.120,9.160
250708200709.717,10.120,8.207
250708200710.721,11.140,8.629
250708200711.722,12.140,7.489
250708200712.725,13.140,7.831
250708200713.728,14.140,7.022
250708200714.730,15.140,6.916
250708200715.735,16.140,6.712
250708200716.735,17.140,5.401
250708200717.736,18.140,6.250
250708200718.737,19.140,6.172
250708200719.739,20.160,5.204
250708200720.742,21.160,6.664
250708200721.746,22.160,6.132
250708200722.751,23.160,8.694
250708200723.752,24.160,9.163
250708200724.756,25.160,9.393
250708200725.757,26.160,9.376
250708200726.757,27.160,8.832
250708200727.763,28.160,8.839
250708200728.763,29.180,8.976
250708200729.764,30.180,7.961
250708200730.765,31.180,8.574
250708200731.768,32.180,6.498
250708200732.769,33.180,6.228
250708200733.772,34.180,5.908
250708200734.775,35.180,6.752
250708200735.779,36.200,8.270
250708200736.781,37.200,8.213
250708200737.785,38.200,10.287
250708200738.786,39.200,10.106
250708200739.788,40.200,12.101
250708200740.793,41.200,12.389
250708200741.796,42.200,12.361
250708200742.798,43.200,12.452
250708200743.801,44.200,12.010
250708200744.803,45.220,11.109
250708200745.809,46.220,11.144
250708200746.810,47.220,9.742
250708200747.813,48.220,9.732
250708200748.814,49.220,6.432
250708200749.818,50.220,6.859
250708200750.821,51.220,7.442
250708200751.825,52.220,7.213
250708200752.827,53.240,7.756
250708200753.831,54.240,7.880
250708200754.834,55.240,7.966
250708200755.637,56.240,7.966
250708200755.637,57.240,7.966
250708200755.637,58.240,7.966
250708200755.637,59.240,7.966
250708200755.637,60.260,7.966
250708200755.637,61.260,7.966
250708200755.637,62.260,7.966
250708200755.639,63.260,7.966
