datetime,sessionTime,type,message,details
250708200650.324,0.000,ManualMarkers,ExperimentStarted,CUSTOM_MARKER
250708200650.360,0.000,Screenshots,screen_1920x1080_0.jpg,NONE
250708200650.361,0.000,ManualMarkers,BaselineCollectionStarted,CUSTOM_MARKER
250708200650.380,0.000,Screenshots,screen_1920x1080_1.jpg,NONE
250708200700.384,8.820,ManualMarkers,BaselineCollectionEnded,CUSTOM_MARKER
250708200700.407,8.820,Screenshots,screen_1920x1080_2.jpg,NONE
250708200700.408,8.820,ManualMarkers,PhobiaTest_Entomophobia_Started,CUSTOM_MARKER
250708200700.430,8.820,Screenshots,screen_1920x1080_3.jpg,NONE
250708200700.430,8.820,ManualMarkers,ExperimentalStageStarted:0,CUSTOM_MARKER
250708200700.447,8.820,Screenshots,screen_1920x1080_4.jpg,NONE
250708200710.412,18.840,ManualMarkers,PhobiaTest_Entomophobia_Ended,CUSTOM_MARKER
250708200710.435,18.840,Screenshots,screen_1920x1080_5.jpg,NONE
250708200710.435,18.840,ManualMarkers,ExperimentalStageEnded:0,CUSTOM_MARKER
250708200710.454,18.840,Screenshots,screen_1920x1080_6.jpg,NONE
250708200711.589,20.000,Screenshots,screen_1920x1080_7.jpg,NONE
250708200715.459,23.880,ManualMarkers,PhobiaTest_Nyctophobia_Started,CUSTOM_MARKER
250708200715.482,23.880,Screenshots,screen_1920x1080_8.jpg,NONE
250708200715.482,23.880,ManualMarkers,ExperimentalStageStarted:1,CUSTOM_MARKER
250708200715.501,23.880,Screenshots,screen_1920x1080_9.jpg,NONE
250708200725.461,33.900,ManualMarkers,PhobiaTest_Nyctophobia_Ended,CUSTOM_MARKER
250708200725.488,33.900,Screenshots,screen_1920x1080_10.jpg,NONE
250708200725.488,33.900,ManualMarkers,ExperimentalStageEnded:1,CUSTOM_MARKER
250708200725.509,33.900,Screenshots,screen_1920x1080_11.jpg,NONE
250708200730.513,38.940,ManualMarkers,PhobiaTest_Scopophobia_Started,CUSTOM_MARKER
250708200730.536,38.940,Screenshots,screen_1920x1080_12.jpg,NONE
250708200730.536,38.940,ManualMarkers,ExperimentalStageStarted:2,CUSTOM_MARKER
250708200730.554,38.940,Screenshots,screen_1920x1080_13.jpg,NONE
250708200731.592,40.000,Screenshots,screen_1920x1080_14.jpg,NONE
250708200740.515,48.940,ManualMarkers,PhobiaTest_Scopophobia_Ended,CUSTOM_MARKER
250708200740.541,48.940,Screenshots,screen_1920x1080_15.jpg,NONE
250708200740.541,48.940,ManualMarkers,ExperimentalStageEnded:2,CUSTOM_MARKER
250708200740.564,48.940,Screenshots,screen_1920x1080_16.jpg,NONE
250708200745.565,54.000,ManualMarkers,PhobiaTest_Claustrophobia_Started,CUSTOM_MARKER
250708200745.590,54.000,Screenshots,screen_1920x1080_17.jpg,NONE
250708200745.591,54.000,ManualMarkers,ExperimentalStageStarted:3,CUSTOM_MARKER
250708200745.611,54.000,Screenshots,screen_1920x1080_18.jpg,NONE
250708200751.593,60.000,Screenshots,screen_1920x1080_19.jpg,NONE
250708200755.566,64.000,ManualMarkers,PhobiaTest_Claustrophobia_Ended,CUSTOM_MARKER
250708200755.593,64.000,Screenshots,screen_1920x1080_20.jpg,NONE
250708200755.593,64.000,ManualMarkers,ExperimentalStageEnded:3,CUSTOM_MARKER
250708200755.614,64.000,Screenshots,screen_1920x1080_21.jpg,NONE
250708200755.614,64.000,ManualMarkers,ExperimentEnded,CUSTOM_MARKER
250708200755.636,64.000,Screenshots,screen_1920x1080_22.jpg,NONE
