datetime,sessionTime,RRi
250717182706.761,0.120,734.375
250717182707.747,1.100,688.477
250717182708.736,2.100,714.844
250717182708.737,2.100,705.078
250717182709.735,3.100,741.211
250717182710.762,4.120,774.414
250717182711.751,5.120,736.328
250717182711.751,5.120,740.234
250717182712.743,6.100,751.953
250717182713.731,7.100,773.438
250717182714.771,8.140,733.398
250717182714.771,8.140,714.844
250717182715.758,9.120,748.047
250717182716.745,10.100,766.602
250717182716.745,10.100,738.281
250717182717.738,10.900,699.219
250717182718.727,11.900,680.664
250717182719.764,12.940,696.289
250717182720.753,13.920,752.930
250717182720.753,13.920,815.430
250717182721.743,14.920,821.289
250717182722.776,15.940,788.086
250717182723.770,16.940,799.805
250717182723.770,16.940,808.594
250717182724.756,17.920,758.789
250717182725.746,18.920,736.328
250717182725.747,18.920,692.383
250717182726.739,19.900,688.477
250717182727.726,20.900,686.523
250717182728.761,21.920,670.898
250717182728.761,21.920,687.500
250717182729.751,22.920,708.984
250717182730.741,23.900,723.633
250717182730.741,23.900,688.477
250717182731.731,24.900,686.523
250717182732.815,25.980,691.406
250717182732.815,25.980,659.180
250717182733.757,26.920,678.711
250717182734.749,27.920,658.203
250717182734.749,27.920,668.945
250717182735.737,28.900,705.078
250717182736.728,29.900,772.461
250717182737.807,30.980,831.055
250717182738.753,31.920,824.219
250717182739.744,32.920,838.867
250717182739.744,32.920,792.969
250717182740.731,33.900,750.000
250717182741.811,34.980,737.305
250717182741.811,34.980,720.703
250717182742.758,35.920,692.383
250717182743.747,36.920,675.781
250717182743.747,36.920,681.641
250717182744.738,37.900,677.734
250717182745.728,38.900,663.086
250717182745.728,38.900,681.641
250717182746.765,39.940,675.781
250717182747.752,40.920,669.922
250717182747.752,40.920,674.805
250717182748.741,41.920,682.617
250717182749.734,42.900,654.297
250717182749.734,42.900,662.109
250717182750.769,43.940,684.570
250717182751.760,44.920,722.656
250717182752.747,45.920,721.680
250717182752.747,45.920,695.313
250717182753.737,46.900,714.844
250717182754.729,47.900,716.797
250717182754.729,47.900,732.422
250717182755.761,48.920,695.313
250717182756.754,49.920,702.148
250717182757.742,50.920,706.055
250717182757.742,50.920,695.313
250717182758.730,51.900,665.039
250717182759.766,52.940,663.086
250717182759.766,52.940,674.805
250717182800.758,53.920,705.078
250717182801.747,54.920,694.336
250717182801.747,54.920,687.500
250717182802.736,55.900,690.430
250717182803.728,56.900,718.750
250717182804.766,57.940,731.445
250717182804.766,57.940,708.984
250717182805.752,58.920,716.797
250717182806.742,59.920,728.516
250717182806.742,59.920,726.563
250717182807.736,60.900,682.617
250717182808.767,61.940,689.453
250717182809.758,62.920,735.352
250717182809.759,62.920,724.609
250717182810.748,63.920,715.820
250717182811.780,64.940,767.578
250717182812.773,65.940,815.430
250717182812.773,65.940,773.438
250717182813.762,66.940,722.656
250717182814.750,67.920,703.125
250717182814.750,67.920,658.203
250717182815.742,68.920,613.281
250717182815.742,68.920,613.281
250717182816.777,69.940,598.633
250717182817.723,70.900,583.008
250717182817.723,70.900,577.148
250717182818.759,71.920,563.477
250717182818.759,71.920,555.664
250717182819.745,72.920,558.594
250717182819.745,72.920,548.828
250717182820.736,73.900,539.063
250717182820.736,73.900,527.344
250717182821.772,74.940,542.969
250717182821.773,74.940,547.852
250717182822.763,75.940,557.617
250717182823.796,76.960,572.266
250717182823.796,76.960,587.891
250717182824.743,77.920,604.492
250717182825.734,78.900,623.047
250717182825.734,78.900,633.789
250717182826.723,79.900,625.977
250717182826.724,79.900,625.000
250717182827.757,80.920,630.859
250717182828.747,81.920,633.789
250717182828.747,81.920,610.352
250717182829.735,82.900,603.516
250717182830.726,83.900,615.234
250717182830.726,83.900,640.625
250717182831.764,84.940,679.688
250717182832.752,85.920,713.867
250717182832.753,85.920,684.570
250717182833.741,86.900,656.250
250717182834.732,87.900,671.875
250717182835.723,88.900,713.867
250717182835.723,88.900,768.555
250717182836.758,89.920,817.383
250717182837.748,90.920,787.109
250717182838.737,91.900,773.438
250717182838.737,91.900,778.320
250717182839.726,92.900,767.578
250717182840.763,93.940,766.602
250717182841.753,94.920,704.102
250717182841.753,94.920,730.469
250717182842.742,95.920,751.953
250717182843.732,96.900,741.211
250717182843.732,96.900,673.828
250717182844.723,97.900,658.203
250717182845.757,98.920,633.789
250717182845.757,98.920,612.305
250717182846.748,99.920,600.586
250717182846.748,99.920,600.586
250717182847.738,100.900,593.750
250717182848.727,101.900,581.055
250717182848.727,101.900,583.008
250717182849.762,102.940,583.008
250717182849.763,102.940,583.008
250717182850.751,103.920,573.242
250717182850.751,103.920,570.313
250717182851.742,104.920,576.172
250717182852.730,105.900,587.891
250717182852.731,105.900,592.773
250717182853.722,106.900,585.938
250717182853.722,106.900,594.727
250717182854.757,107.920,615.234
250717182855.747,108.920,626.953
250717182855.747,108.920,634.766
250717182856.737,109.900,622.070
250717182857.729,110.900,635.742
250717182857.729,110.900,653.320
250717182858.762,111.940,674.805
250717182859.749,112.920,673.828
250717182859.749,112.920,693.359
250717182900.744,113.920,725.586
250717182901.776,114.940,717.773
250717182902.767,115.940,689.453
250717182902.768,115.940,711.914
250717182903.757,116.920,708.008
250717182904.747,117.920,667.969
250717182904.747,117.920,671.875
250717182905.738,118.900,669.922
250717182906.727,119.900,643.555
250717182906.728,119.900,640.625
250717182907.765,120.940,674.805
250717182908.752,121.920,667.969
250717182908.752,121.920,646.484
250717182909.741,122.900,662.109
250717182910.734,123.900,690.430
250717182910.734,123.900,669.922
250717182911.721,124.880,661.133
250717182912.755,125.920,681.641
250717182912.755,125.920,659.180
250717182913.748,126.920,642.578
250717182913.748,126.920,636.719
250717182914.736,127.900,636.719
250717182915.728,128.900,680.664
250717182916.806,129.980,710.938
250717182916.806,129.980,666.016
250717182917.754,130.920,686.523
250717182918.745,131.920,728.516
250717182919.732,132.900,761.719
250717182919.732,132.900,758.789
250717182920.721,133.880,737.305
250717182921.759,134.920,767.578
250717182922.749,135.920,780.273
250717182922.749,135.920,750.000
250717182923.737,136.900,743.164
250717182924.727,137.900,767.578
250717182925.765,138.940,776.367
250717182925.765,138.940,733.398
250717182926.758,139.920,737.305
250717182927.742,140.920,754.883
250717182927.742,140.920,735.352
250717182928.730,141.900,690.430
250717182929.723,142.900,701.172
250717182929.723,142.900,700.195
250717182930.756,143.920,663.086
250717182931.748,144.920,648.438
250717182932.736,145.900,675.781
250717182932.736,145.900,708.984
250717183025.566,146.700,687.500
250717183025.566,146.700,685.547
250717183025.566,146.700,723.633
250717183025.566,146.700,720.703
250717183025.566,146.700,676.758
250717183025.566,146.700,701.172
250717183025.567,146.700,731.445
250717183025.567,146.700,742.188
250717183025.567,146.700,692.383
250717183025.567,146.700,732.422
250717183025.567,146.700,764.648
250717183025.567,146.700,766.602
250717183025.567,146.700,712.891
250717183025.567,146.700,750.000
250717183025.567,146.700,781.250
250717183025.567,146.700,769.531
250717183025.568,146.700,724.609
250717183025.568,146.700,759.766
250717183025.568,146.700,754.883
250717183025.568,146.700,705.078
250717183025.568,146.700,733.398
250717183025.568,146.700,738.281
250717183025.568,146.700,694.336
250717183025.568,146.700,685.547
250717183025.568,146.700,725.586
250717183025.568,146.700,757.813
250717183025.568,146.700,723.633
250717183025.569,146.700,738.281
250717183025.569,146.700,772.461
250717183025.569,146.700,761.719
250717183025.569,146.700,723.633
250717183025.569,146.700,775.391
250717183025.569,146.700,792.969
250717183025.570,146.700,739.258
250717183025.570,146.700,732.422
250717183025.570,146.700,753.906
250717183025.570,146.700,755.859
250717183025.570,146.700,707.031
250717183025.570,146.700,739.258
250717183025.570,146.700,787.109
250717183025.570,146.700,791.016
250717183025.570,146.700,753.906
250717183025.571,146.700,754.883
250717183025.571,146.700,762.695
250717183025.571,146.700,723.633
250717183025.571,146.700,694.336
250717183025.571,146.700,714.844
250717183025.571,146.700,734.375
250717183025.571,146.700,718.750
250717183025.571,146.700,730.469
250717183025.571,146.700,769.531
250717183025.571,146.700,777.344
250717183025.571,146.700,729.492
250717183025.572,146.700,749.023
250717183025.572,146.700,762.695
250717183025.572,146.700,746.094
250717183025.572,146.700,718.750
250717183025.572,146.700,739.258
250717183025.572,146.700,727.539
250717183025.572,146.700,693.359
250717183025.572,146.700,716.797
250717183025.572,146.700,750.000
250717183025.573,146.700,739.258
250717183025.573,146.700,718.750
250717183025.573,146.700,754.883
250717183025.573,146.700,779.297
250717183025.573,146.700,746.094
250717183025.573,146.700,736.328
250717183025.573,146.700,752.930
250717183025.573,146.700,760.742
